key,value
AccountTrie.Name,account trie
TopByDepth[8].Levels[4].Value,0
TopByDepth[8].Levels[4].Size,34864160
TopByDepth[8].Levels[5].Short,477
TopByDepth[8].Levels[5].Full,1048068
TopByDepth[8].Levels[5].Value,0
TopByDepth[8].Levels[5].Size,275891002
TopByDepth[8].Levels[6].Short,5795341
TopByDepth[8].Levels[6].Full,2186346
TopByDepth[8].Levels[6].Value,347
TopByDepth[8].Levels[6].Size,486769270
TopByDepth[8].Levels[7].Short,4734129
TopByDepth[8].Levels[7].Full,206990
TopByDepth[8].Levels[7].Value,5679182
TopByDepth[8].Levels[7].Size,251449533
TopByDepth[8].Levels[8].Short,415865
TopByDepth[8].Levels[8].Full,6534
TopByDepth[8].Levels[8].Value,4728034
TopByDepth[8].Levels[8].Size,21101351
TopByDepth[8].Levels[9].Short,13070
TopByDepth[8].Levels[9].Full,39
TopByDepth[8].Levels[9].Value,415826
TopByDepth[8].Levels[9].Size,636649
TopByDepth[8].Levels[10].Short,78
TopByDepth[8].Levels[10].Full,0
TopByDepth[8].Levels[10].Value,13070
TopByDepth[8].Levels[10].Size,3729
TopByDepth[8].Levels[11].Short,0
TopByDepth[8].Levels[11].Full,0
TopByDepth[8].Levels[11].Value,78
